correct_YN,ID,CUI,concept,matched_text,n_alias_forms,train_freq,caption,stratum
Y,ROCOv2_2023_test_009941,C0019552,Hip structure,hip,8,9,"An 83-year-old man who had fallen from standing height. Anteroposterior X-ray of the left hip showing a fracture of the femoral neck (arrow).The trabeculae of the femoral head and acetabulum are parallel, characteristic of a complete and fully displaced fracture of the femoral neck.",short/abbrev
N,ROCOv2_2023_test_009085,C0027342,Nail plate,nail,7,1,Postoperative anteroposterior plain radiogram of the left hip and proximal femur.The green arrow demonstrates the Gamma 3 nail with adequate fracture reduction and a very satisfying outcome.,rare
N,ROCOv2_2023_test_002125,C0002978,angiogram,angiography,10,420,CT angiography of the head shows a high-grade luminal narrowing of mid and distal left internal carotid artery. Arrow points to left internal carotid artery with 80% luminal narrowing.,frequent
Y,ROCOv2_2023_test_007105,C0005778,Blood coagulation,clot,9,1,"Coronary angiogram revealed a saddle clot (thrombus) involving the distal left main artery, left circumflex artery, and proximal left anterior descending artery (red circle).",rare
Y,ROCOv2_2023_test_002044,C0001527,Adipose tissue,fat,17,11,MRI scan of the gluteal region (coronal view): accumulation of poorly defined fillers in different fat layers of both buttocks (white arrows).,short/abbrev
Y,ROCOv2_2023_test_002335,C0446413,C3 level,C3,3,4,"T2 hyperintense signal abnormalities seen at C3 and C6-C7, seen on sagittal cervical spine. Signal abnormalities are indicated by the red arrows.",short/abbrev
N,ROCOv2_2023_test_005294,C1996865,Postero-Anterior,PA,2,465,"Axial view of chest CT shows severe compression of the left main bronchus (LMB) (white arrow) by the esophageal stents. Due to the self-expanding metal stents inserted into the esophagus, LMB was completely obstructed, and subsequential obstructive pneumonia occurred in the left lung. PA, pulmonary artery; RMB, right main bronchus; AAo, ascending aorta; DAo, descending aorta.",short/abbrev
Y,ROCOv2_2023_test_000582,C0817096,Chest,Chest,12,1345,"Chest CT showing mild pericardial effusion, no evidence of inflammation or cardiomyopathy",negation-context
Y,ROCOv2_2023_test_005213,C0031050,Pericardial sac structure,pericardial; pericardial sac,7,17,"Coronal chest, abdomen, and pelvis computed tomographic scan with intravenous iodinated contrast demonstrating diffuse arterial calcification of descending thoracic aorta, iliac arteries, and distal femoral arteries bilaterally. Note the calcification of pericardial sac and the position of the post-pneumonectomy cardiomegaly.",multi-token
Y,ROCOv2_2023_test_007921,C0205129,Sagittal,sagittal,1,325,T2 sagittal image of the tumor at diagnosis. Magnetic resonance image shows a large solid mass in the vagina,frequent
Y,ROCOv2_2023_test_003754,C0223895,Medial malleolus,medial malleolus,4,5,Anteroposterior fluoroscopy following external fixation demonstrates improvement in ankle mortise and fibular alignment with persistent medial clear space widening and gapping at medial malleolus fracture site.,rare
Y,ROCOv2_2023_test_008052,C0817096,Chest,chest,12,1345,CT scan chest of the same patient’s basal cut lung window showing a left side lung mass (arrow) 2.5 cm and related atelectatic plates.,frequent
Y,ROCOv2_2023_test_005352,C0041951,Ureter,ureter; ureteral,7,3,"CT-abdomen, native sequence, ureteral stone in the medial portion of the left ureter (6-mm diameter, 1100 Hounsfield units), axial view.",rare
Y,ROCOv2_2023_test_005032,C0019552,Hip structure,hip,8,9,"Ultrasound image with needle placement and labeled aspects of a total hip (neck, femoral head, and acetabulum).",short/abbrev
Y,ROCOv2_2023_test_002067,C0007272,Carotid Arteries,Carotid; carotid artery,6,30,"Internal Carotid angiogram, anteroposterior view, demonstrating left sided caroticocavernous fistula with supply from left internal carotid artery. Note the early filling of the left cavernous sinus (red circle)",multi-token
